id,name,height,weight,primary_type,hp,attack,defense,special_attack,special_defense,speed
1,bulbasaur,7,69,grass,45,49,49,65,65,45
2,ivysaur,10,130,grass,60,62,63,80,80,60
3,venusaur,20,1000,grass,80,82,83,100,100,80
4,charmander,6,85,fire,39,52,43,60,50,65
5,charmeleon,11,190,fire,58,64,58,80,65,80
6,charizard,17,905,fire,78,84,78,109,85,100
7,squirtle,5,90,water,44,48,65,50,64,43
8,wartortle,10,225,water,59,63,80,65,80,58
9,blastoise,16,855,water,79,83,100,85,105,78
10,caterpie,3,29,bug,45,30,35,20,20,45
11,metapod,7,99,bug,50,20,55,25,25,30
12,butterfree,11,320,bug,60,45,50,90,80,70
13,weedle,3,32,bug,40,35,30,20,20,50
14,kakuna,6,100,bug,45,25,50,25,25,35
15,beedrill,10,295,bug,65,90,40,45,80,75
16,pidgey,3,18,normal,40,45,40,35,35,56
17,pidgeotto,11,300,normal,63,60,55,50,50,71
18,pidgeot,15,395,normal,83,80,75,70,70,101
19,rattata,3,35,normal,30,56,35,25,35,72
20,raticate,7,185,normal,55,81,60,50,70,97
21,spearow,3,20,normal,40,60,30,31,31,70
22,fearow,12,380,normal,65,90,65,61,61,100
23,ekans,20,69,poison,35,60,44,40,54,55
24,arbok,35,650,poison,60,95,69,65,79,80
25,pikachu,4,60,electric,35,55,40,50,50,90
26,raichu,8,300,electric,60,90,55,90,80,110
27,sandshrew,6,120,ground,50,75,85,20,30,40
28,sandslash,10,295,ground,75,100,110,45,55,65
29,nidoran-f,4,70,poison,55,47,52,40,40,41
30,nidorina,8,200,poison,70,62,67,55,55,56
31,nidoqueen,13,600,poison,90,92,87,75,85,76
32,nidoran-m,5,90,poison,46,57,40,40,40,50
33,nidorino,9,195,poison,61,72,57,55,55,65
34,nidoking,14,620,poison,81,102,77,85,75,85
35,clefairy,6,75,fairy,70,45,48,60,65,35
36,clefable,13,400,fairy,95,70,73,95,90,60
37,vulpix,6,99,fire,38,41,40,50,65,65
38,ninetales,11,199,fire,73,76,75,81,100,100
39,jigglypuff,5,55,normal,115,45,20,45,25,20
40,wigglytuff,10,120,normal,140,70,45,85,50,45
41,zubat,8,75,poison,40,45,35,30,40,55
42,golbat,16,550,poison,75,80,70,65,75,90
43,oddish,5,54,grass,45,50,55,75,65,30
44,gloom,8,86,grass,60,65,70,85,75,40
45,vileplume,12,186,grass,75,80,85,110,90,50
46,paras,3,54,bug,35,70,55,45,55,25
47,parasect,10,295,bug,60,95,80,60,80,30
48,venonat,10,300,bug,60,55,50,40,55,45
49,venomoth,15,125,bug,70,65,60,90,75,90
50,diglett,2,8,ground,10,55,25,35,45,95
51,dugtrio,7,333,ground,35,100,50,50,70,120
52,meowth,4,42,normal,40,45,35,40,40,90
53,persian,10,320,normal,65,70,60,65,65,115
54,psyduck,8,196,water,50,52,48,65,50,55
55,golduck,17,766,water,80,82,78,95,80,85
56,mankey,5,280,fighting,40,80,35,35,45,70
57,primeape,10,320,fighting,65,105,60,60,70,95
58,growlithe,7,190,fire,55,70,45,70,50,60
59,arcanine,19,1550,fire,90,110,80,100,80,95
60,poliwag,6,124,water,40,50,40,40,40,90
61,poliwhirl,10,200,water,65,65,65,50,50,90
62,poliwrath,13,540,water,90,95,95,70,90,70
63,abra,9,195,psychic,25,20,15,105,55,90
64,kadabra,13,565,psychic,40,35,30,120,70,105
65,alakazam,15,480,psychic,55,50,45,135,95,120
66,machop,8,195,fighting,70,80,50,35,35,35
67,machoke,15,705,fighting,80,100,70,50,60,45
68,machamp,16,1300,fighting,90,130,80,65,85,55
69,bellsprout,7,40,grass,50,75,35,70,30,40
70,weepinbell,10,64,grass,65,90,50,85,45,55
71,victreebel,17,155,grass,80,105,65,100,70,70
72,tentacool,9,455,water,40,40,35,50,100,70
73,tentacruel,16,550,water,80,70,65,80,120,100
74,geodude,4,200,rock,40,80,100,30,30,20
75,graveler,10,1050,rock,55,95,115,45,45,35
76,golem,14,3000,rock,80,120,130,55,65,45
77,ponyta,10,300,fire,50,85,55,65,65,90
78,rapidash,17,950,fire,65,100,70,80,80,105
79,slowpoke,12,360,water,90,65,65,40,40,15
80,slowbro,16,785,water,95,75,110,100,80,30
81,magnemite,3,60,electric,25,35,70,95,55,45
82,magneton,10,600,electric,50,60,95,120,70,70
83,farfetchd,8,150,normal,52,90,55,58,62,60
84,doduo,14,392,normal,35,85,45,35,35,75
85,dodrio,18,852,normal,60,110,70,60,60,110
86,seel,11,900,water,65,45,55,45,70,45
87,dewgong,17,1200,water,90,70,80,70,95,70
88,grimer,9,300,poison,80,80,50,40,50,25
89,muk,12,300,poison,105,105,75,65,100,50
90,shellder,3,40,water,30,65,100,45,25,40
91,cloyster,15,1325,water,50,95,180,85,45,70
92,gastly,13,1,ghost,30,35,30,100,35,80
93,haunter,16,1,ghost,45,50,45,115,55,95
94,gengar,15,405,ghost,60,65,60,130,75,110
95,onix,88,2100,rock,35,45,160,30,45,70
96,drowzee,10,324,psychic,60,48,45,43,90,42
97,hypno,16,756,psychic,85,73,70,73,115,67
98,krabby,4,65,water,30,105,90,25,25,50
99,kingler,13,600,water,55,130,115,50,50,75
100,voltorb,5,104,electric,40,30,50,55,55,100
101,electrode,12,666,electric,60,50,70,80,80,150
102,exeggcute,4,25,grass,60,40,80,60,45,40
103,exeggutor,20,1200,grass,95,95,85,125,75,55
104,cubone,4,65,ground,50,50,95,40,50,35
105,marowak,10,450,ground,60,80,110,50,80,45
106,hitmonlee,15,498,fighting,50,120,53,35,110,87
107,hitmonchan,14,502,fighting,50,105,79,35,110,76
108,lickitung,12,655,normal,90,55,75,60,75,30
109,koffing,6,10,poison,40,65,95,60,45,35
110,weezing,12,95,poison,65,90,120,85,70,60
111,rhyhorn,10,1150,ground,80,85,95,30,30,25
112,rhydon,19,1200,ground,105,130,120,45,45,40
113,chansey,11,346,normal,250,5,5,35,105,50
114,tangela,10,350,grass,65,55,115,100,40,60
115,kangaskhan,22,800,normal,105,95,80,40,80,90
116,horsea,4,80,water,30,40,70,70,25,60
117,seadra,12,250,water,55,65,95,95,45,85
118,goldeen,6,150,water,45,67,60,35,50,63
119,seaking,13,390,water,80,92,65,65,80,68
120,staryu,8,345,water,30,45,55,70,55,85
121,starmie,11,800,water,60,75,85,100,85,115
122,mr-mime,13,545,psychic,40,45,65,100,120,90
123,scyther,15,560,bug,70,110,80,55,80,105
124,jynx,14,406,ice,65,50,35,115,95,95
125,electabuzz,11,300,electric,65,83,57,95,85,105
126,magmar,13,445,fire,65,95,57,100,85,93
127,pinsir,15,550,bug,65,125,100,55,70,85
128,tauros,14,884,normal,75,100,95,40,70,110
129,magikarp,9,100,water,20,10,55,15,20,80
130,gyarados,65,2350,water,95,125,79,60,100,81
131,lapras,25,2200,water,130,85,80,85,95,60
132,ditto,3,40,normal,48,48,48,48,48,48
133,eevee,3,65,normal,55,55,50,45,65,55
134,vaporeon,10,290,water,130,65,60,110,95,65
135,jolteon,8,245,electric,65,65,60,110,95,130
136,flareon,9,250,fire,65,130,60,95,110,65
137,porygon,8,365,normal,65,60,70,85,75,40
138,omanyte,4,75,rock,35,40,100,90,55,35
139,omastar,10,350,rock,70,60,125,115,70,55
140,kabuto,5,115,rock,30,80,90,55,45,55
141,kabutops,13,405,rock,60,115,105,65,70,80
142,aerodactyl,18,590,rock,80,105,65,60,75,130
143,snorlax,21,4600,normal,160,110,65,65,110,30
144,articuno,17,554,ice,90,85,100,95,125,85
145,zapdos,16,526,electric,90,90,85,125,90,100
146,moltres,20,600,fire,90,100,90,125,85,90
147,dratini,18,33,dragon,41,64,45,50,50,50
148,dragonair,40,165,dragon,61,84,65,70,70,70
149,dragonite,22,2100,dragon,91,134,95,100,100,80
150,mewtwo,20,1220,psychic,106,110,90,154,90,130
151,mew,4,40,psychic,100,100,100,100,100,100
152,chikorita,9,64,grass,45,49,65,49,65,45
153,bayleef,12,158,grass,60,62,80,63,80,60
154,meganium,18,1005,grass,80,82,100,83,100,80
155,cyndaquil,5,79,fire,39,52,43,60,50,65
156,quilava,9,190,fire,58,64,58,80,65,80
157,typhlosion,17,795,fire,78,84,78,109,85,100
158,totodile,6,95,water,50,65,64,44,48,43
159,croconaw,11,250,water,65,80,80,59,63,58
160,feraligatr,23,888,water,85,105,100,79,83,78
161,sentret,8,60,normal,35,46,34,35,45,20
162,furret,18,325,normal,85,76,64,45,55,90
163,hoothoot,7,212,normal,60,30,30,36,56,50
164,noctowl,16,408,normal,100,50,50,86,96,70
165,ledyba,10,108,bug,40,20,30,40,80,55
166,ledian,14,356,bug,55,35,50,55,110,85
167,spinarak,5,85,bug,40,60,40,40,40,30
168,ariados,11,335,bug,70,90,70,60,70,40
169,crobat,18,750,poison,85,90,80,70,80,130
170,chinchou,5,120,water,75,38,38,56,56,67
171,lanturn,12,225,water,125,58,58,76,76,67
172,pichu,3,20,electric,20,40,15,35,35,60
173,cleffa,3,30,fairy,50,25,28,45,55,15
174,igglybuff,3,10,normal,90,30,15,40,20,15
175,togepi,3,15,fairy,35,20,65,40,65,20
176,togetic,6,32,fairy,55,40,85,80,105,40
177,natu,2,20,psychic,40,50,45,70,45,70
178,xatu,15,150,psychic,65,75,70,95,70,95
179,mareep,6,78,electric,55,40,40,65,45,35
180,flaaffy,8,133,electric,70,55,55,80,60,45
181,ampharos,14,615,electric,90,75,85,115,90,55
182,bellossom,4,58,grass,75,80,95,90,100,50
183,marill,4,85,water,70,20,50,20,50,40
184,azumarill,8,285,water,100,50,80,60,80,50
185,sudowoodo,12,380,rock,70,100,115,30,65,30
186,politoed,11,339,water,90,75,75,90,100,70
187,hoppip,4,5,grass,35,35,40,35,55,50
188,skiploom,6,10,grass,55,45,50,45,65,80
189,jumpluff,8,30,grass,75,55,70,55,95,110
190,aipom,8,115,normal,55,70,55,40,55,85
191,sunkern,3,18,grass,30,30,30,30,30,30
192,sunflora,8,85,grass,75,75,55,105,85,30
193,yanma,12,380,bug,65,65,45,75,45,95
194,wooper,4,85,water,55,45,45,25,25,15
195,quagsire,14,750,water,95,85,85,65,65,35
196,espeon,9,265,psychic,65,65,60,130,95,110
197,umbreon,10,270,dark,95,65,110,60,130,65
198,murkrow,5,21,dark,60,85,42,85,42,91
199,slowking,20,795,water,95,75,80,100,110,30
200,misdreavus,7,10,ghost,60,60,60,85,85,85
201,unown,5,50,psychic,48,72,48,72,48,48
202,wobbuffet,13,285,psychic,190,33,58,33,58,33
203,girafarig,15,415,normal,70,80,65,90,65,85
204,pineco,6,72,bug,50,65,90,35,35,15
205,forretress,12,1258,bug,75,90,140,60,60,40
206,dunsparce,15,140,normal,100,70,70,65,65,45
207,gligar,11,648,ground,65,75,105,35,65,85
208,steelix,92,4000,steel,75,85,200,55,65,30
209,snubbull,6,78,fairy,60,80,50,40,40,30
210,granbull,14,487,fairy,90,120,75,60,60,45
211,qwilfish,5,39,water,65,95,85,55,55,85
212,scizor,18,1180,bug,70,130,100,55,80,65
213,shuckle,6,205,bug,20,10,230,10,230,5
214,heracross,15,540,bug,80,125,75,40,95,85
215,sneasel,9,280,dark,55,95,55,35,75,115
216,teddiursa,6,88,normal,60,80,50,50,50,40
217,ursaring,18,1258,normal,90,130,75,75,75,55
218,slugma,7,350,fire,40,40,40,70,40,20
219,magcargo,8,550,fire,60,50,120,90,80,30
220,swinub,4,65,ice,50,50,40,30,30,50
221,piloswine,11,558,ice,100,100,80,60,60,50
222,corsola,6,50,water,65,55,95,65,95,35
223,remoraid,6,120,water,35,65,35,65,35,65
224,octillery,9,285,water,75,105,75,105,75,45
225,delibird,9,160,ice,45,55,45,65,45,75
226,mantine,21,2200,water,85,40,70,80,140,70
227,skarmory,17,505,steel,65,80,140,40,70,70
228,houndour,6,108,dark,45,60,30,80,50,65
229,houndoom,14,350,dark,75,90,50,110,80,95
230,kingdra,18,1520,water,75,95,95,95,95,85
231,phanpy,5,335,ground,90,60,60,40,40,40
232,donphan,11,1200,ground,90,120,120,60,60,50
233,porygon2,6,325,normal,85,80,90,105,95,60
234,stantler,14,712,normal,73,95,62,85,65,85
235,smeargle,12,580,normal,55,20,35,20,45,75
236,tyrogue,7,210,fighting,35,35,35,35,35,35
237,hitmontop,14,480,fighting,50,95,95,35,110,70
238,smoochum,4,60,ice,45,30,15,85,65,65
239,elekid,6,235,electric,45,63,37,65,55,95
240,magby,7,214,fire,45,75,37,70,55,83
241,miltank,12,755,normal,95,80,105,40,70,100
242,blissey,15,468,normal,255,10,10,75,135,55
243,raikou,19,1780,electric,90,85,75,115,100,115
244,entei,21,1980,fire,115,115,85,90,75,100
245,suicune,20,1870,water,100,75,115,90,115,85
246,larvitar,6,720,rock,50,64,50,45,50,41
247,pupitar,12,1520,rock,70,84,70,65,70,51
248,tyranitar,20,2020,rock,100,134,110,95,100,61
249,lugia,52,2160,psychic,106,90,130,90,154,110
250,ho-oh,38,1990,fire,106,130,90,110,154,90
251,celebi,6,50,psychic,100,100,100,100,100,100
252,treecko,5,50,grass,40,45,35,65,55,70
253,grovyle,9,216,grass,50,65,45,85,65,95
254,sceptile,17,522,grass,70,85,65,105,85,120
255,torchic,4,25,fire,45,60,40,70,50,45
256,combusken,9,195,fire,60,85,60,85,60,55
257,blaziken,19,520,fire,80,120,70,110,70,80
258,mudkip,4,76,water,50,70,50,50,50,40
259,marshtomp,7,280,water,70,85,70,60,70,50
260,swampert,15,819,water,100,110,90,85,90,60
261,poochyena,5,136,dark,35,55,35,30,30,35
262,mightyena,10,370,dark,70,90,70,60,60,70
263,zigzagoon,4,175,normal,38,30,41,30,41,60
264,linoone,5,325,normal,78,70,61,50,61,100
265,wurmple,3,36,bug,45,45,35,20,30,20
266,silcoon,6,100,bug,50,35,55,25,25,15
267,beautifly,10,284,bug,60,70,50,100,50,65
268,cascoon,7,115,bug,50,35,55,25,25,15
269,dustox,12,316,bug,60,50,70,50,90,65
270,lotad,5,26,water,40,30,30,40,50,30
271,lombre,12,325,water,60,50,50,60,70,50
272,ludicolo,15,550,water,80,70,70,90,100,70
273,seedot,5,40,grass,40,40,50,30,30,30
274,nuzleaf,10,280,grass,70,70,40,60,40,60
275,shiftry,13,596,grass,90,100,60,90,60,80
276,taillow,3,23,normal,40,55,30,30,30,85
277,swellow,7,198,normal,60,85,60,75,50,125
278,wingull,6,95,water,40,30,30,55,30,85
279,pelipper,12,280,water,60,50,100,95,70,65
280,ralts,4,66,psychic,28,25,25,45,35,40
281,kirlia,8,202,psychic,38,35,35,65,55,50
282,gardevoir,16,484,psychic,68,65,65,125,115,80
283,surskit,5,17,bug,40,30,32,50,52,65
284,masquerain,8,36,bug,70,60,62,100,82,80
285,shroomish,4,45,grass,60,40,60,40,60,35
286,breloom,12,392,grass,60,130,80,60,60,70
287,slakoth,8,240,normal,60,60,60,35,35,30
288,vigoroth,14,465,normal,80,80,80,55,55,90
289,slaking,20,1305,normal,150,160,100,95,65,100
290,nincada,5,55,bug,31,45,90,30,30,40
291,ninjask,8,120,bug,61,90,45,50,50,160
292,shedinja,8,12,bug,1,90,45,30,30,40
293,whismur,6,163,normal,64,51,23,51,23,28
294,loudred,10,405,normal,84,71,43,71,43,48
295,exploud,15,840,normal,104,91,63,91,73,68
296,makuhita,10,864,fighting,72,60,30,20,30,25
297,hariyama,23,2538,fighting,144,120,60,40,60,50
298,azurill,2,20,normal,50,20,40,20,40,20
299,nosepass,10,970,rock,30,45,135,45,90,30
300,skitty,6,110,normal,50,45,45,35,35,50
301,delcatty,11,326,normal,70,65,65,55,55,90
302,sableye,5,110,dark,50,75,75,65,65,50
303,mawile,6,115,steel,50,85,85,55,55,50
304,aron,4,600,steel,50,70,100,40,40,30
305,lairon,9,1200,steel,60,90,140,50,50,40
306,aggron,21,3600,steel,70,110,180,60,60,50
307,meditite,6,112,fighting,30,40,55,40,55,60
308,medicham,13,315,fighting,60,60,75,60,75,80
309,electrike,6,152,electric,40,45,40,65,40,65
310,manectric,15,402,electric,70,75,60,105,60,105
311,plusle,4,42,electric,60,50,40,85,75,95
312,minun,4,42,electric,60,40,50,75,85,95
313,volbeat,7,177,bug,65,73,75,47,85,85
314,illumise,6,177,bug,65,47,75,73,85,85
315,roselia,3,20,grass,50,60,45,100,80,65
316,gulpin,4,103,poison,70,43,53,43,53,40
317,swalot,17,800,poison,100,73,83,73,83,55
318,carvanha,8,208,water,45,90,20,65,20,65
319,sharpedo,18,888,water,70,120,40,95,40,95
320,wailmer,20,1300,water,130,70,35,70,35,60
321,wailord,145,3980,water,170,90,45,90,45,60
322,numel,7,240,fire,60,60,40,65,45,35
323,camerupt,19,2200,fire,70,100,70,105,75,40
324,torkoal,5,804,fire,70,85,140,85,70,20
325,spoink,7,306,psychic,60,25,35,70,80,60
326,grumpig,9,715,psychic,80,45,65,90,110,80
327,spinda,11,50,normal,60,60,60,60,60,60
328,trapinch,7,150,ground,45,100,45,45,45,10
329,vibrava,11,153,ground,50,70,50,50,50,70
330,flygon,20,820,ground,80,100,80,80,80,100
331,cacnea,4,513,grass,50,85,40,85,40,35
332,cacturne,13,774,grass,70,115,60,115,60,55
333,swablu,4,12,normal,45,40,60,40,75,50
334,altaria,11,206,dragon,75,70,90,70,105,80
335,zangoose,13,403,normal,73,115,60,60,60,90
336,seviper,27,525,poison,73,100,60,100,60,65
337,lunatone,10,1680,rock,90,55,65,95,85,70
338,solrock,12,1540,rock,90,95,85,55,65,70
339,barboach,4,19,water,50,48,43,46,41,60
340,whiscash,9,236,water,110,78,73,76,71,60
341,corphish,6,115,water,43,80,65,50,35,35
342,crawdaunt,11,328,water,63,120,85,90,55,55
343,baltoy,5,215,ground,40,40,55,40,70,55
344,claydol,15,1080,ground,60,70,105,70,120,75
345,lileep,10,238,rock,66,41,77,61,87,23
346,cradily,15,604,rock,86,81,97,81,107,43
347,anorith,7,125,rock,45,95,50,40,50,75
348,armaldo,15,682,rock,75,125,100,70,80,45
349,feebas,6,74,water,20,15,20,10,55,80
